#pds_CompDrive_inv_RouteOpt.bash_MEII_ldcnd01_Genrc_R_x_MinSpd5_MaxSpd28_MinTm4_MaxTm12 exp2 gam3.3 Hs1 DeltaSpd1 DeltaDm10 DeltaTm0.5
$1:spd:24|min:5|max:28|delta:1|0
$2:Tm:17|min:4|max:12|delta:0.5|0
$2:Tp:17|min:0|max:0|delta:0|0
$3:Dm:19|min:0|max:180|delta:10|1
1|MEII ldcnd01 waveres Genrc|1:spd:5|2:Tm:4.00|2:Tp:4.791$11.097,11.209,11.510,11.921,12.367,12.745,12.954,12.929,12.636,12.076,11.284,10.328,9.2870,8.2490,7.3000,6.4990,5.8920,5.5280,5.4120
2|MEII ldcnd01 waveres Genrc|1:spd:5|2:Tm:4.50|2:Tp:5.390$12.713,12.849,13.215,13.713,14.241,14.639,14.754,14.538,13.988,13.139,12.071,10.885,9.6990,8.6220,7.7520,7.0890,6.6140,6.3440,6.2620
3|MEII ldcnd01 waveres Genrc|1:spd:5|2:Tm:5.00|2:Tp:5.989$12.808,12.926,13.238,13.648,14.051,14.312,14.313,14.019,13.436,12.609,11.613,10.546,9.5110,8.6020,7.8950,7.3880,7.0550,6.8830,6.8330
4|MEII ldcnd01 waveres Genrc|1:spd:5|2:Tm:5.50|2:Tp:6.588$12.775,12.852,13.051,13.289,13.474,13.517,13.350,12.961,12.365,11.606,10.750,9.8740,9.0560,8.3630,7.8460,7.5060,7.3150,7.2330,7.2130
5|MEII ldcnd01 waveres Genrc|1:spd:5|2:Tm:6.00|2:Tp:7.187$12.965,13.003,13.096,13.182,13.186,13.040,12.703,12.183,11.513,10.746,9.9460,9.1820,8.5180,8.0050,7.6700,7.4980,7.4400,7.4380,7.4440
6|MEII ldcnd01 waveres Genrc|1:spd:5|2:Tm:6.50|2:Tp:7.786$13.028,13.026,13.007,12.933,12.755,12.427,11.930,11.290,10.554,9.7840,9.0480,8.4080,7.9140,7.5970,7.4610,7.4640,7.5360,7.6130,7.6440
7|MEII ldcnd01 waveres Genrc|1:spd:5|2:Tm:7.00|2:Tp:8.385$13.409,13.353,13.183,12.886,12.451,11.869,11.152,10.348,9.5220,8.7450,8.0850,7.5930,7.3020,7.2130,7.3000,7.4940,7.7100,7.8740,7.9350
8|MEII ldcnd01 waveres Genrc|1:spd:5|2:Tm:7.50|2:Tp:8.984$13.597,13.493,13.186,12.686,12.016,11.203,10.291,9.3510,8.4600,7.6960,7.1190,6.7710,6.6610,6.7690,7.0400,7.3890,7.7210,7.9550,8.0400
9|MEII ldcnd01 waveres Genrc|1:spd:5|2:Tm:8.00|2:Tp:9.583$13.322,13.184,12.781,12.140,11.308,10.339,9.3050,8.2920,7.3860,6.6610,6.1740,5.9500,5.9820,6.2300,6.6270,7.0760,7.4810,7.7590,7.8590
10|MEII ldcnd01 waveres Genrc|1:spd:5|2:Tm:8.50|2:Tp:10.18$12.499,12.348,11.908,11.216,10.330,9.3190,8.2650,7.2620,6.3960,5.7370,5.3330,5.1990,5.3180,5.6400,6.0930,6.5830,7.0120,7.3050,7.4080
11|MEII ldcnd01 waveres Genrc|1:spd:5|2:Tm:9.00|2:Tp:10.78$11.335,11.186,10.754,10.077,9.2150,8.2420,7.2430,6.3080,5.5200,4.9410,4.6110,4.5380,4.7010,5.0480,5.5090,5.9930,6.4130,6.6970,6.7980
12|MEII ldcnd01 waveres Genrc|1:spd:5|2:Tm:9.50|2:Tp:11.38$10.061,9.9240,9.5240,8.8990,8.1070,7.2190,6.3150,5.4790,4.7840,4.2880,4.0210,3.9890,4.1670,4.5070,4.9430,5.3950,5.7850,6.0470,6.1390
13|MEII ldcnd01 waveres Genrc|1:spd:5|2:Tm:10.0|2:Tp:11.97$8.8260,8.7030,8.3470,7.7910,7.0890,6.3050,5.5130,4.7870,4.1930,3.7780,3.5680,3.5630,3.7410,4.0570,4.4530,4.8590,5.2060,5.4390,5.5220
14|MEII ldcnd01 waveres Genrc|1:spd:5|2:Tm:10.5|2:Tp:12.57$7.7340,7.6260,7.3150,6.8310,6.2210,5.5450,4.8670,4.2540,3.7600,3.4250,3.2680,3.2870,3.4590,3.7450,4.0940,4.4480,4.7500,4.9510,5.0220
15|MEII ldcnd01 waveres Genrc|1:spd:5|2:Tm:11.0|2:Tp:13.17$6.7740,6.6830,6.4180,6.0070,5.4900,4.9210,4.3550,3.8490,3.4500,3.1880,3.0770,3.1120,3.2710,3.5200,3.8170,4.1150,4.3680,4.5370,4.5970
16|MEII ldcnd01 waveres Genrc|1:spd:5|2:Tm:11.5|2:Tp:13.77$5.9780,5.9030,5.6840,5.3430,4.9140,4.4420,3.9740,3.5580,3.2310,3.0190,2.9300,2.9610,3.0920,3.2950,3.5370,3.7790,3.9860,4.1240,4.1730
17|MEII ldcnd01 waveres Genrc|1:spd:5|2:Tm:12.0|2:Tp:14.37$5.3150,5.2550,5.0820,4.8100,4.4650,4.0810,3.6970,3.3500,3.0710,2.8820,2.7910,2.7950,2.8820,3.0300,3.2120,3.3990,3.5610,3.6710,3.7100
18|MEII ldcnd01 waveres Genrc|1:spd:6|2:Tm:4.00|2:Tp:4.791$11.058,11.155,11.413,11.758,12.115,12.412,12.576,12.542,12.270,11.750,11.009,10.100,9.0900,8.0560,7.0780,6.2370,5.6050,5.2260,5.1020
19|MEII ldcnd01 waveres Genrc|1:spd:6|2:Tm:4.50|2:Tp:5.390$11.047,11.154,11.436,11.803,12.167,12.459,12.615,12.579,12.319,11.832,11.148,10.318,9.4090,8.4940,7.6460,6.9390,6.4340,6.1470,6.0560
