#pds_CompDrive_inv_RouteOpt.bash_MEII_ldcnd01_Swell_R_x_MinSpd5_MaxSpd28_MinTm4_MaxTm13 exp6 gam5 Hs1 DeltaSpd1 DeltaDm10 DeltaTm0.5
$1:spd:24|min:5|max:28|delta:1|0
$2:Tm:19|min:0|max:0|delta:0|0
$2:Tp:19|min:4|max:13|delta:0.5|0
$3:Dm:19|min:0|max:180|delta:10|1
1|MEII ldcnd01 waveres Swell|1:spd:5|2:Tm:3.433|2:Tp:4.00$9.0500,9.2280,9.7070,10.347,10.998,11.544,11.913,12.048,11.888,11.381,10.513,9.3320,7.9470,6.4990,5.1340,3.9760,3.1100,2.5800,2.4010
2|MEII ldcnd01 waveres Swell|1:spd:5|2:Tm:3.862|2:Tp:4.50$8.7530,8.9320,9.4250,10.119,10.868,11.528,11.974,12.113,11.895,11.322,10.445,9.3520,8.1420,6.9160,5.7620,4.7640,3.9960,3.5130,3.3480
3|MEII ldcnd01 waveres Swell|1:spd:5|2:Tm:4.291|2:Tp:5.00$8.6430,8.8890,9.5780,10.564,11.626,12.505,12.981,12.942,12.422,11.563,10.536,9.4700,8.4200,7.4010,6.4310,5.5590,4.8630,4.4150,4.2600
4|MEII ldcnd01 waveres Swell|1:spd:5|2:Tm:4.720|2:Tp:5.50$9.1100,9.5890,10.915,12.748,14.558,15.758,15.948,15.110,13.596,11.912,10.445,9.3210,8.4460,7.6630,6.8890,6.1460,5.5200,5.1060,4.9620
5|MEII ldcnd01 waveres Swell|1:spd:5|2:Tm:5.149|2:Tp:6.00$9.3840,9.8660,11.202,13.052,14.863,16.009,16.056,14.990,13.226,11.367,9.8770,8.8920,8.2580,7.7310,7.1590,6.5420,5.9840,5.6010,5.4660
6|MEII ldcnd01 waveres Swell|1:spd:5|2:Tm:5.579|2:Tp:6.50$9.6600,9.9910,10.924,12.248,13.575,14.420,14.400,13.456,11.908,10.287,9.0420,8.3180,7.9560,7.6790,7.2970,6.8020,6.3120,5.9620,5.8370
7|MEII ldcnd01 waveres Swell|1:spd:5|2:Tm:6.008|2:Tp:7.00$10.226,10.485,11.225,12.286,13.335,13.917,13.667,12.541,10.889,9.2760,8.1610,7.6640,7.5690,7.5340,7.3360,6.9590,6.5350,6.2190,6.1040
8|MEII ldcnd01 waveres Swell|1:spd:5|2:Tm:6.437|2:Tp:7.50$10.260,10.529,11.277,12.303,13.228,13.590,13.061,11.677,9.8670,8.2420,7.2580,6.9870,7.1510,7.3530,7.3290,7.0510,6.6640,6.3470,6.2270
9|MEII ldcnd01 waveres Swell|1:spd:5|2:Tm:6.866|2:Tp:8.00$10.275,10.561,11.329,12.306,13.063,13.149,12.312,10.686,8.7710,7.1870,6.3550,6.3000,6.7010,7.1330,7.3020,7.1560,6.8330,6.5340,6.4160
10|MEII ldcnd01 waveres Swell|1:spd:5|2:Tm:7.295|2:Tp:8.50$10.947,11.194,11.829,12.548,12.931,12.597,11.409,9.5860,7.6450,6.1590,5.4820,5.6020,6.1980,6.8500,7.2560,7.3290,7.1720,6.9710,6.8840
11|MEII ldcnd01 waveres Swell|1:spd:5|2:Tm:7.724|2:Tp:9.00$11.733,11.907,12.321,12.687,12.641,11.902,10.433,8.5050,6.6110,5.2510,4.7100,4.9510,5.6740,6.4920,7.1060,7.4010,7.4390,7.3660,7.3230
12|MEII ldcnd01 waveres Swell|1:spd:5|2:Tm:8.154|2:Tp:9.50$12.292,12.364,12.496,12.464,12.004,10.944,9.3200,7.4120,5.6500,4.4450,4.0170,4.3210,5.0940,6.0000,6.7620,7.2500,7.4770,7.5430,7.5510
13|MEII ldcnd01 waveres Swell|1:spd:5|2:Tm:8.583|2:Tp:10.0$12.425,12.407,12.295,11.938,11.168,9.9040,8.2330,6.4170,4.8200,3.7690,3.4320,3.7620,4.5380,5.4730,6.3200,6.9400,7.3130,7.4910,7.5400
14|MEII ldcnd01 waveres Swell|1:spd:5|2:Tm:9.012|2:Tp:10.5$11.949,11.874,11.610,11.064,10.143,8.8240,7.2130,5.5480,4.1290,3.2210,2.9530,3.2820,4.0230,4.9330,5.7940,6.4710,6.9220,7.1650,7.2400
15|MEII ldcnd01 waveres Swell|1:spd:5|2:Tm:9.441|2:Tp:11.0$11.103,10.995,10.650,10.016,9.0500,7.7690,6.2820,4.7930,3.5540,2.7760,2.5630,2.8760,3.5610,4.4130,5.2430,5.9240,6.4030,6.6780,6.7660
16|MEII ldcnd01 waveres Swell|1:spd:5|2:Tm:9.870|2:Tp:11.5$10.104,9.9830,9.6090,8.9590,8.0200,6.8260,5.4840,4.1710,3.0950,2.4300,2.2610,2.5540,3.1780,3.9580,4.7310,5.3810,5.8520,6.1290,6.2200
17|MEII ldcnd01 waveres Swell|1:spd:5|2:Tm:10.29|2:Tp:12.0$9.0270,8.9070,8.5420,7.9240,7.0580,5.9850,4.8010,3.6590,2.7320,2.1690,2.0380,2.3100,2.8720,3.5730,4.2710,4.8620,5.2950,5.5530,5.6380
18|MEII ldcnd01 waveres Swell|1:spd:5|2:Tm:10.72|2:Tp:12.5$8.0080,7.8950,7.5540,6.9870,6.2080,5.2590,4.2270,3.2430,2.4540,1.9870,1.8980,2.1580,2.6690,3.2940,3.9110,4.4300,4.8060,5.0300,5.1030
19|MEII ldcnd01 waveres Swell|1:spd:5|2:Tm:11.15|2:Tp:13.0$7.0950,6.9920,6.6840,6.1760,5.4880,4.6610,3.7700,2.9310,2.2710,1.8970,1.8570,2.1220,2.5950,3.1530,3.6860,4.1180,4.4200,4.5930,4.6490
20|MEII ldcnd01 waveres Swell|1:spd:6|2:Tm:3.433|2:Tp:4.00$10.002,10.173,10.628,11.220,11.798,12.258,12.534,12.559,12.249,11.534,10.412,8.9810,7.4120,5.8860,4.5460,3.4730,2.7000,2.2370,2.0830
