#pds_CompDrive_inv_RouteOpt.bash_MEII_ldcnd01_WindS_R_x_MinSpd5_MaxSpd28_MinTm4-MaxTm13 exp4 gam2 Hs1 DeltaSpd1 DeltaDm10 DeltaTm0.5
$1:spd:24|min:5|max:28|delta:1|0
$2:Tm:19|min:0|max:0|delta:0|0
$2:Tp:19|min:4|max:13|delta:0.5|0
$3:Dm:19|min:0|max:180|delta:10|1
1|MEII ldcnd01 waveres WindS|1:spd:5|2:Tm:3.222|2:Tp:4.00$10.716,10.885,11.351,12.006,12.694,13.257,13.568,13.551,13.177,12.456,11.432,10.174,8.7770,7.3560,6.0260,4.8870,4.0190,3.4740,3.2850
2|MEII ldcnd01 waveres WindS|1:spd:5|2:Tm:3.625|2:Tp:4.50$10.641,10.843,11.403,12.186,13.003,13.661,14.013,13.978,13.548,12.769,11.725,10.509,9.2170,7.9350,6.7430,5.7180,4.9250,4.4190,4.2420
3|MEII ldcnd01 waveres WindS|1:spd:5|2:Tm:4.028|2:Tp:5.00$10.934,11.218,11.994,13.048,14.092,14.856,15.157,14.931,14.230,13.192,11.976,10.719,9.5040,8.3710,7.3400,6.4450,5.7380,5.2750,5.1110
4|MEII ldcnd01 waveres WindS|1:spd:5|2:Tm:4.431|2:Tp:5.50$11.453,11.819,12.803,14.102,15.323,16.113,16.264,15.743,14.686,13.332,11.924,10.633,9.5240,8.5730,7.7300,6.9840,6.3710,5.9550,5.8050
5|MEII ldcnd01 waveres WindS|1:spd:5|2:Tm:4.834|2:Tp:6.00$11.620,11.958,12.864,14.049,15.135,15.785,15.801,15.170,14.052,12.703,11.377,10.239,9.3320,8.5980,7.9550,7.3620,6.8440,6.4770,6.3420
6|MEII ldcnd01 waveres WindS|1:spd:5|2:Tm:5.236|2:Tp:6.50$11.905,12.199,12.981,13.983,14.857,15.294,15.124,14.360,13.183,11.862,10.648,9.6920,9.0060,8.5010,8.0610,7.6210,7.2020,6.8860,6.7660
7|MEII ldcnd01 waveres WindS|1:spd:5|2:Tm:5.639|2:Tp:7.00$12.214,12.482,13.182,14.046,14.732,14.948,14.555,13.604,12.312,10.974,9.8460,9.0610,8.5950,8.3180,8.0780,7.7890,7.4670,7.2040,7.1010
8|MEII ldcnd01 waveres WindS|1:spd:5|2:Tm:6.042|2:Tp:7.50$12.428,12.669,13.289,14.014,14.506,14.495,13.874,12.738,11.342,10.003,8.9760,8.3700,8.1260,8.0730,8.0290,7.8920,7.6750,7.4720,7.3890
9|MEII ldcnd01 waveres WindS|1:spd:5|2:Tm:6.445|2:Tp:8.00$12.800,12.995,13.480,13.994,14.226,13.943,13.082,11.776,10.306,8.9940,8.0830,7.6550,7.6200,7.7820,7.9380,7.9740,7.8890,7.7710,7.7170
10|MEII ldcnd01 waveres WindS|1:spd:5|2:Tm:6.848|2:Tp:8.50$13.231,13.363,13.669,13.921,13.856,13.290,12.206,10.768,9.2630,8.0040,7.2110,6.9410,7.0850,7.4350,7.7780,7.9880,8.0500,8.0300,8.0110
11|MEII ldcnd01 waveres WindS|1:spd:5|2:Tm:7.251|2:Tp:9.00$13.478,13.542,13.660,13.650,13.304,12.496,11.248,9.7400,8.2520,7.0710,6.3910,6.2480,6.5250,7.0150,7.5070,7.8670,8.0630,8.1360,8.1510
12|MEII ldcnd01 waveres WindS|1:spd:5|2:Tm:7.653|2:Tp:9.50$13.425,13.429,13.384,13.151,12.582,11.599,10.258,8.7410,7.3110,6.2250,5.6480,5.6010,5.9680,6.5500,7.1450,7.6160,7.9160,8.0660,8.1080
13|MEII ldcnd01 waveres WindS|1:spd:5|2:Tm:8.056|2:Tp:10.0$13.018,12.978,12.816,12.430,11.717,10.642,9.2790,7.8070,6.4670,5.4830,4.9970,5.0180,5.4360,6.0660,6.7160,7.2530,7.6190,7.8200,7.8810
14|MEII ldcnd01 waveres WindS|1:spd:5|2:Tm:8.459|2:Tp:10.5$12.339,12.271,12.035,11.559,10.776,9.6780,8.3500,6.9600,5.7270,4.8470,4.4400,4.5080,4.9470,5.5880,6.2550,6.8180,7.2170,7.4450,7.5170
15|MEII ldcnd01 waveres WindS|1:spd:5|2:Tm:8.862|2:Tp:11.0$11.510,11.426,11.152,10.635,9.8350,8.7610,7.5020,6.2160,5.0960,4.3170,3.9760,4.0750,4.5150,5.1430,5.7980,6.3590,6.7640,7.0010,7.0770
16|MEII ldcnd01 waveres WindS|1:spd:5|2:Tm:9.265|2:Tp:11.5$10.609,10.518,10.230,9.7070,8.9260,7.9090,6.7410,5.5700,4.5660,3.8810,3.5990,3.7170,4.1450,4.7420,5.3650,5.9020,6.2940,6.5250,6.6000
17|MEII ldcnd01 waveres WindS|1:spd:5|2:Tm:9.668|2:Tp:12.0$9.7180,9.6270,9.3400,8.8320,8.0910,7.1460,6.0790,5.0240,4.1320,3.5360,3.3070,3.4380,3.8470,4.4060,4.9850,5.4840,5.8490,6.0640,6.1340
18|MEII ldcnd01 waveres WindS|1:spd:5|2:Tm:10.07|2:Tp:12.5$8.8710,8.7820,8.5070,8.0280,7.3400,6.4750,5.5120,4.5710,3.7870,3.2740,3.0930,3.2340,3.6200,4.1350,4.6640,5.1150,5.4430,5.6360,5.6990
19|MEII ldcnd01 waveres WindS|1:spd:5|2:Tm:10.47|2:Tp:13.0$8.0850,8.0010,7.7440,7.3020,6.6740,5.8940,5.0340,4.2010,3.5150,3.0750,2.9340,3.0770,3.4350,3.9040,4.3780,4.7790,5.0660,5.2330,5.2870
20|MEII ldcnd01 waveres WindS|1:spd:6|2:Tm:3.222|2:Tp:4.00$11.705,11.853,12.264,12.839,13.436,13.903,14.111,13.972,13.450,12.558,11.348,9.9110,8.3710,6.8620,5.5050,4.3910,3.5730,3.0760,2.9100
